type,coursecode,sectioncode,id,coursetitle
BIOL,1090,0102,3991,"Intro to Molecular & Cell Biol"
BIOL,1090,0103,3992,"Intro to Molecular & Cell Biol"
BIOL,1090,0104,3993,"Intro to Molecular & Cell Biol"
BIOL,1090,0105,3994,"Intro to Molecular & Cell Biol"
BIOL,1090,0106,3995,"Intro to Molecular & Cell Biol"
BIOL,1090,0107,3996,"Intro to Molecular & Cell Biol"
BIOL,1090,0111,4000,"Intro to Molecular & Cell Biol"
BIOL,1090,0112,4001,"Intro to Molecular & Cell Biol"
BIOL,1090,0113,4002,"Intro to Molecular & Cell Biol"
BIOL,1090,0114,4003,"Intro to Molecular & Cell Biol"
BIOL,1090,0115,4004,"Intro to Molecular & Cell Biol"
BIOL,1090,0116,4005,"Intro to Molecular & Cell Biol"
BIOL,1090,0117,4006,"Intro to Molecular & Cell Biol"
BIOL,1090,0221,4010,"Intro to Molecular & Cell Biol"
BIOL,1090,0222,4011,"Intro to Molecular & Cell Biol"
BIOL,1090,0223,4012,"Intro to Molecular & Cell Biol"
BIOL,1090,0224,4013,"Intro to Molecular & Cell Biol"
BIOL,1090,0225,4014,"Intro to Molecular & Cell Biol"
BIOL,1090,0226,4015,"Intro to Molecular & Cell Biol"
BIOL,1090,0227,4016,"Intro to Molecular & Cell Biol"
BIOL,1090,0228,4017,"Intro to Molecular & Cell Biol"
BIOL,1090,0229,4018,"Intro to Molecular & Cell Biol"
BIOL,1090,0230,4019,"Intro to Molecular & Cell Biol"
BIOL,1090,0231,4020,"Intro to Molecular & Cell Biol"
BIOL,1090,0232,4021,"Intro to Molecular & Cell Biol"
BIOL,1090,0233,4022,"Intro to Molecular & Cell Biol"
BIOL,1090,0234,4023,"Intro to Molecular & Cell Biol"
BIOL,1090,0235,4024,"Intro to Molecular & Cell Biol"
BIOL,1090,0236,4025,"Intro to Molecular & Cell Biol"
BIOL,1090,0237,4026,"Intro to Molecular & Cell Biol"
BIOL,1090,0238,4027,"Intro to Molecular & Cell Biol"
BIOL,1090,0239,4028,"Intro to Molecular & Cell Biol"
BIOL,1500,01,4030,"Humans in the Natural World"
BIOL,2060,0101,4031,"Ecology"
BIOL,2060,0102,4032,"Ecology"
BIOL,2060,0103,4033,"Ecology"
BIOL,2060,0104,4034,"Ecology"
BIOL,2060,0105,4035,"Ecology"
BIOL,2060,0107,4037,"Ecology"
BIOL,2060,0108,4038,"Ecology"
BIOL,2060,0109,4039,"Ecology"
BIOL,2060,0110,4040,"Ecology"
BIOL,2400,01,4041,"Evolution"
BIOL,3010,01,4042,"Lab & Field Work in Ecology"
BIOL,3020,0101,4043,"Population Genetics"
BIOL,3020,0102,4044,"Population Genetics"
BIOL,3450,01,4045,"Introduction to Aquatic Enviro"
BIOL,4110,0101,4046,"Ecological Methods"
BIOL,4150,01,4047,"Wildlife Conservation & Manage"
BIOL,4350,0101,4048,"Limnology of Nat & Pltd Waters"
BIOL,4350,0102,4049,"Limnology of Nat & Pltd Waters"
BIOL,4410,0101,4050,"Field Ecology"
BIOL,4610,0101,4051,"Arctic Ecology"
BIOL,4700,0101,4052,"Field Biology"
BIOL,4800,0101,4054,"Field Biology"
BIOL,4900,0101,4056,"Field Biology"
BIOM,2000,01,4057,"Concepts in Human Physiology"
BIOM,3000,01,4058,"Functional Mammalian Neuroanat"
BIOM,3010,0101,4059,"Comparative Mammalian Anatomy"
BIOM,3010,0102,4060,"Comparative Mammalian Anatomy"
BIOM,3010,0103,4061,"Comparative Mammalian Anatomy"
BIOM,3090,DE,4062,"Principles of Pharmacology"
BIOM,3200,DE,4063,"Biomedical Physiology"
BIOM,3210,01,4064,"Critical Think in Health Sci"
BIOM,4070,0101,4065,"Biomedical Histology"
BIOM,4070,0102,4066,"Biomedical Histology"
BIOM,4090,01,4067,"Pharmacology"
BIOM,4300,01,4068,"Biomedical Communications"
BIOM,4500,01,4069,"Lit-Based Rsch in Biom. Sci."
BIOM,4510,01,4070,"Research in Biomedical Sci."
BIOM,4521,01,4071,"Research in Biomedical Sci."
BIOM,4522,01,4072,"Research in Biomedical Sci."
BOT,2100,0101,4081,"Life Strategies of Plants"
BOT,2100,0102,4082,"Life Strategies of Plants"
BOT,3050,0101,4083,"Plant Functional Ecology"
BOT,3050,0102,4084,"Plant Functional Ecology"
BOT,3410,0101,4085,"Plant Anatomy"
BUS,4550,01,4086,"Applied Business Project I"
BUS,4550,02,6757,"Applied Business Project I"
BUS,4560,01,4087,"Applied Business Project II"
BUS,4560,02,6758,"Applied Business Project II"
CHEM,1040,0103,4108,"General Chemistry I"
CHEM,1040,0105,4110,"General Chemistry I"
CHEM,1040,0107,4112,"General Chemistry I"
CHEM,1040,0109,4114,"General Chemistry I"
CHEM,1040,0111,4116,"General Chemistry I"
CHEM,1040,01XX,4118,"General Chemistry I"
CHEM,1040,0247,4140,"General Chemistry I"
CHEM,1040,02XX,4144,"General Chemistry I"
CHEM,1040,03XX,4169,"General Chemistry I"
CHEM,1040,04XX,4196,"General Chemistry I"
CHEM,1040,0514,4198,"General Chemistry I"
CHEM,1040,0519,4203,"General Chemistry I"
CHEM,1040,0520,4204,"General Chemistry I"
CHEM,1040,0525,4209,"General Chemistry I"
CHEM,1040,05A4,4212,"General Chemistry I"
CHEM,1040,05A8,4216,"General Chemistry I"
CHEM,1040,05B1,4218,"General Chemistry I"
CHEM,1040,05B5,4222,"General Chemistry I"
CHEM,1040,05XX,4227,"General Chemistry I"
CHEM,1050,0101,4228,"General Chemistry II"
CHEM,1050,0102,4229,"General Chemistry II"
CHEM,1050,0103,4230,"General Chemistry II"
CHEM,1050,0104,4231,"General Chemistry II"
CHEM,1050,0107,4234,"General Chemistry II"
CHEM,1050,0108,4235,"General Chemistry II"
CHEM,1050,0109,4236,"General Chemistry II"
CHEM,1050,0110,4237,"General Chemistry II"
CHEM,1050,0113,4240,"General Chemistry II"
CHEM,1050,0114,4241,"General Chemistry II"
CHEM,1050,0115,4242,"General Chemistry II"
CHEM,1050,0116,4243,"General Chemistry II"
CHEM,1050,0117,4244,"General Chemistry II"
CHEM,1050,0118,4245,"General Chemistry II"
CHEM,1050,0119,4246,"General Chemistry II"
CHEM,1050,0120,4247,"General Chemistry II"
CHEM,1050,0121,4248,"General Chemistry II"
CHEM,1050,0122,4249,"General Chemistry II"
CHEM,1050,0123,4250,"General Chemistry II"
CHEM,1050,0124,4251,"General Chemistry II"
CHEM,1050,01XX,4252,"General Chemistry II"
CHEM,1060,DE,4253,"Introductory Chemistry"
CHEM,2060,0101,4254,"Structure and Bonding"
CHEM,2400,0101,4255,"Analytical Chemistry I"
CHEM,2400,0103,4257,"Analytical Chemistry I"
CHEM,2400,0104,4258,"Analytical Chemistry I"
CHEM,2400,0105,4259,"Analytical Chemistry I"
CHEM,2400,01XX,4260,"Analytical Chemistry I"
CHEM,2480,0101,4261,"Analytical Chemistry I"
CHEM,2480,0102,4262,"Analytical Chemistry I"
CHEM,2480,0103,4263,"Analytical Chemistry I"
CHEM,2480,0104,4264,"Analytical Chemistry I"
CHEM,2480,0105,4265,"Analytical Chemistry I"
CHEM,2480,0106,4266,"Analytical Chemistry I"
CHEM,2480,0107,6984,"Analytical Chemistry I"
CHEM,2480,01XX,4267,"Analytical Chemistry I"
CHEM,2820,0101,4268,"Thermodynamics and Kinetics"
CHEM,2820,0102,4269,"Thermodynamics and Kinetics"
CHEM,2820,0103,4270,"Thermodynamics and Kinetics"
CHEM,2880,0101,4271,"Physical Chemistry"
CHEM,3440,0101,4272,"Analytical Chemistry III"
CHEM,3440,0102,4273,"Analytical Chemistry III"
CHEM,3440,0103,6935,"Analytical Chemistry III"
CHEM,3640,0101,4274,"Chemistry of the Elements I"
CHEM,3640,0102,4275,"Chemistry of the Elements I"
CHEM,3640,0103,4276,"Chemistry of the Elements I"
CHEM,3640,0104,4277,"Chemistry of the Elements I"
CHEM,3640,0105,4278,"Chemistry of the Elements I"
CHEM,3750,0101,4279,"Organic Chemistry II"
CHEM,3750,0102,4280,"Organic Chemistry II"
CHEM,3750,0103,4281,"Organic Chemistry II"
CHEM,3750,0104,4282,"Organic Chemistry II"
CHEM,3750,0105,4283,"Organic Chemistry II"
CHEM,3750,0106,4284,"Organic Chemistry II"
CHEM,3750,0107,4285,"Organic Chemistry II"
CHEM,3750,0108,4286,"Organic Chemistry II"
CHEM,3750,01XX,4289,"Organic Chemistry II"
CHEM,3860,0101,4290,"Quantum Chemistry"
CHEM,4620,01,4291,"Adv. Topics in Inorganic Chem."
CHEM,4730,01,4292,"Synthetic Organic Chemistry"
CHEM,4740,01,4293,"Topics in Bio-Organic Chem"
CHEM,4900,01,4294,"Chemistry Research Project I"
CHEM,4910,01,4295,"Chemistry Research Project II"
CHIN,1200,01,4311,"Introductory Chinese I"
CHIN,1280,01,4312,"Conversational Chinese I"
CHIN,2200,01,4313,"Intermediate Chinese I"
CIS,1000,DE,4314,"Intro to Computer Applications"
CIS,1200,DE,4315,"Introduction to Computing"
CIS,1250,0101,4316,"Software Design I"
CIS,1250,0102,4317,"Software Design I"
CIS,1250,0103,4318,"Software Design I"
CIS,1250,0104,4319,"Software Design I"
CIS,1500,0101,4321,"Introduction to Programming"
CIS,1500,0102,4322,"Introduction to Programming"
CIS,1500,0103,4323,"Introduction to Programming"
CIS,1500,0104,4324,"Introduction to Programming"
CIS,1500,0105,4325,"Introduction to Programming"
CIS,1500,0106,4326,"Introduction to Programming"
CIS,1500,0107,4327,"Introduction to Programming"
CIS,1500,0108,4328,"Introduction to Programming"
CIS,1500,0109,4329,"Introduction to Programming"
CIS,1500,0211,4331,"Introduction to Programming"
CIS,1500,0212,4332,"Introduction to Programming"
CIS,1500,0213,4333,"Introduction to Programming"
CIS,1500,0214,4334,"Introduction to Programming"
CIS,1500,0215,4335,"Introduction to Programming"
CIS,1500,0216,4336,"Introduction to Programming"
CIS,1500,0317,4337,"Introduction to Programming"
CIS,1500,0318,4338,"Introduction to Programming"
CIS,1500,0319,4339,"Introduction to Programming"
CIS,1500,0320,4340,"Introduction to Programming"
CIS,1500,0323,4343,"Introduction to Programming"
CIS,1500,0324,4344,"Introduction to Programming"
CIS,1500,0325,4345,"Introduction to Programming"
CIS,1500,0326,4346,"Introduction to Programming"
CIS,1500,0327,4347,"Introduction to Programming"
CIS,2030,0101,4348,"Structure/Applicat - Microcomp"
CIS,2030,0102,4349,"Structure/Applicat - Microcomp"
CIS,2030,0103,4350,"Structure/Applicat - Microcomp"
CIS,2030,0104,4351,"Structure/Applicat - Microcomp"
CIS,2030,0105,4352,"Structure/Applicat - Microcomp"
CIS,2030,0106,4353,"Structure/Applicat - Microcomp"
CIS,2030,0107,4354,"Structure/Applicat - Microcomp"
CIS,2030,0108,4355,"Structure/Applicat - Microcomp"
CIS,2430,0101,4357,"Object Oriented Programming"
CIS,2430,0102,4358,"Object Oriented Programming"
CIS,2430,0103,4359,"Object Oriented Programming"
CIS,2430,0104,4360,"Object Oriented Programming"
CIS,2430,0105,4361,"Object Oriented Programming"
CIS,2430,0106,4362,"Object Oriented Programming"
CIS,2430,0107,4363,"Object Oriented Programming"
CIS,2460,0101,4365,"Modelling of Computer Systems"
CIS,2460,0102,4366,"Modelling of Computer Systems"
CIS,2520,0101,4367,"Data Structures"
CIS,2520,0102,4368,"Data Structures"
CIS,2520,0103,4369,"Data Structures"
CIS,2520,0104,4370,"Data Structures"
CIS,2520,0105,4371,"Data Structures"
CIS,2520,0106,4372,"Data Structures"
CIS,2520,0107,4373,"Data Structures"
CIS,2750,0101,4374,"Software System Dvlmt & Intgrn"
CIS,2750,0102,4375,"Software System Dvlmt & Intgrn"
CIS,2750,0103,4376,"Software System Dvlmt & Intgrn"
CIS,2910,0101,4377,"Discrete Structures in Comp II"
CIS,2910,0102,4378,"Discrete Structures in Comp II"
CIS,2910,0103,4379,"Discrete Structures in Comp II"
CIS,2910,0104,4380,"Discrete Structures in Comp II"
CIS,3000,01,4381,"Social Implications of Comp"
CIS,3090,0101,4382,"Parallel Programming"
CIS,3150,0101,4383,"Theory of Computation"
CIS,3210,0101,4384,"Computer Networks"
CIS,3250,0101,4385,"Software Design III"
CIS,3250,0102,4386,"Software Design III"
CIS,3250,0103,4387,"Software Design III"
CIS,3260,0101,4388,"Software Design IV"
CIS,3530,0101,4389,"Data Base Systems & Concepts"
CIS,3750,0101,4390,"Syst Anal & Design in Applic"
CIS,3750,0102,6961,"Syst Anal & Design in Applic"
CIS,4150,0101,4391,"Software Reliability & Testing"
CIS,4250,01,4392,"Software Design V"
CIS,4300,0101,4393,"Human Computer Interaction"
CIS,4780,0101,4394,"Computational Intelligence"
CIS,4900,01,4395,"Computer Science Project"
CIS,4910,01,4396,"Computer Science Thesis"
CLAS,1000,01,4398,"Intro. to Classical Culture"
CLAS,2150,01,4399,"Western Art: Greece"
CLAS,3020,01,4400,"Hist. of the Hellenistic World"
CLAS,3070,01,4401,"Hist-Hellenistic World (Greek"
CLAS,4000,01,4402,"Novel & Romance in Antiquity"
CLAS,4010,01,4403,"Novel & Rom in Antiq (in Latin"
CLAS,4150,01,4404,"Research Paper in Classics"
CLAS,4150,02,4405,"Research Paper in Classics"
COOP,1000,01,4414,"Work Term I"
COOP,1100,EL01,4415,"Students in B.A."
COOP,1100,EL02,4416,"Students in B.A.Sc."
COOP,1100,EL03,4417,"Students in B.Comm."
COOP,1100,EL04,4418,"Students in B. Comp."
COOP,1100,EL05,4419,"Students in B.Sc."
COOP,1100,EL06,4420,"Students in B.Eng."
COOP,2000,01,4422,"Work Term II"
COOP,3000,01,4423,"Work Term III"
COOP,4000,01,4424,"Work Term IV"
COOP,5000,01,4425,"Work Term V"
CROP,3310,01,4426,"Protein and Oilseed Crops"
CROP,4240,0101,4427,"Weed Science"
CROP,4260,01,4428,"Crop Science Field Trip"
ECON,1050,01,4445,"Introductory Microeconomics"
ECON,1050,02,4446,"Introductory Microeconomics"
